currency,date,value
usd,1999-01-04,1.1789
usd,1999-01-05,1.179
usd,1999-01-06,1.1743
usd,1999-01-07,1.1632
usd,1999-01-08,1.1659
usd,1999-01-11,1.1569
usd,1999-01-12,1.152
usd,1999-01-13,1.1744
usd,1999-01-14,1.1653
usd,1999-01-15,1.1626
usd,1999-01-18,1.1612
usd,1999-01-19,1.1616
usd,1999-01-20,1.1575
usd,1999-01-21,1.1572
usd,1999-01-22,1.1567
usd,1999-01-25,1.1584
usd,1999-01-26,1.1582
usd,1999-01-27,1.1529
usd,1999-01-28,1.141
usd,1999-01-29,1.1384
usd,1999-02-01,1.1338
usd,1999-02-02,1.1337
usd,1999-02-03,1.1337
usd,1999-02-04,1.1263
usd,1999-02-05,1.1292
usd,1999-02-08,1.1246
usd,1999-02-09,1.1333
usd,1999-02-10,1.1342
usd,1999-02-11,1.1312
usd,1999-02-12,1.1244
usd,1999-02-15,1.1238
usd,1999-02-16,1.1176
usd,1999-02-17,1.1253
usd,1999-02-18,1.1232
usd,1999-02-19,1.1163
usd,1999-02-22,1.0992
usd,1999-02-23,1.0969
usd,1999-02-24,1.1037
usd,1999-02-25,1.1031
usd,1999-02-26,1.1018
usd,1999-03-01,1.0986
usd,1999-03-02,1.0887
usd,1999-03-03,1.0899
usd,1999-03-04,1.0866
usd,1999-03-05,1.0834
usd,1999-03-08,1.0908
usd,1999-03-09,1.0863
usd,1999-03-10,1.0953
usd,1999-03-11,1.0891
usd,1999-03-12,1.0932
usd,1999-03-15,1.0949
usd,1999-03-16,1.0901
usd,1999-03-17,1.0966
usd,1999-03-18,1.1012
usd,1999-03-19,1.0915
usd,1999-03-22,1.0864
usd,1999-03-23,1.0896
usd,1999-03-24,1.0928
usd,1999-03-25,1.0898
usd,1999-03-26,1.0815
usd,1999-03-29,1.0692
usd,1999-03-30,1.0711
usd,1999-03-31,1.0742
usd,1999-04-01,1.0772
usd,1999-04-02,1.0772
usd,1999-04-05,1.0752
usd,1999-04-06,1.0726
usd,1999-04-07,1.0812
usd,1999-04-08,1.0818
usd,1999-04-09,1.0778
usd,1999-04-12,1.0867
usd,1999-04-13,1.0765
usd,1999-04-14,1.0787
usd,1999-04-15,1.0786
usd,1999-04-16,1.0668
usd,1999-04-19,1.0636
usd,1999-04-20,1.0646
usd,1999-04-21,1.0586
usd,1999-04-22,1.0581
usd,1999-04-23,1.0634
usd,1999-04-26,1.0614
usd,1999-04-27,1.063
usd,1999-04-28,1.0666
usd,1999-04-29,1.0604
usd,1999-04-30,1.0597
usd,1999-05-03,1.0589
usd,1999-05-04,1.0564
usd,1999-05-05,1.0667
usd,1999-05-06,1.0799
usd,1999-05-07,1.0786
usd,1999-05-10,1.0735
usd,1999-05-11,1.0732
usd,1999-05-12,1.0645
usd,1999-05-13,1.0622
usd,1999-05-14,1.0676
usd,1999-05-17,1.0685
usd,1999-05-18,1.069
usd,1999-05-19,1.0634
usd,1999-05-20,1.0639
usd,1999-05-21,1.0572
usd,1999-05-24,1.0585
usd,1999-05-25,1.0627
usd,1999-05-26,1.0535
usd,1999-05-27,1.0473
usd,1999-05-28,1.0479
usd,1999-05-31,1.0456
usd,1999-06-01,1.0434
usd,1999-06-02,1.0382
usd,1999-06-03,1.0382
usd,1999-06-04,1.0315
usd,1999-06-07,1.0316
usd,1999-06-08,1.0385
usd,1999-06-09,1.0466
usd,1999-06-10,1.0474
usd,1999-06-11,1.0474
usd,1999-06-14,1.0437
usd,1999-06-15,1.0392
usd,1999-06-16,1.0345
usd,1999-06-17,1.034
